id	sites	section	clause	rows	anchoring	in	last	site_last
C-001	10-11	Preamble	Produce a multi-session delivery map, not an implementation plan or task backlog		—	b0d6dc5	b0d6dc5	b0d6dc5
C-002	11-11	Preamble	Treat each slice as independently schedulable; do not decompose into implementation tasks		—	b0d6dc5	b0d6dc5	b0d6dc5
C-003	13-13	Preamble	Plan for early validated learning, short feedback loops, cheap reprioritization		—	c001780	c001780	c001780
C-004	13-15	Preamble	Treat a result as valuable when it helps an end user or a developer test the real product		—	c001780	e0049d9	e0049d9
C-005	19-19	Choose the branch	Create: execute steps 1–5 and satisfy every completion criterion		—	c001780	c001780	c001780
C-006	20-20	Choose the branch	Review: execute steps 1–2, then follow `Review an existing plan`		—	c001780	28b5460	28b5460
C-007	21-22	Choose the branch	Split, merge, or reorder: steps 1–2 for the affected scope, then that section		—	c001780	28b5460	28b5460
C-008	24-24	Choose the branch	Modify an existing plan only when requested		—	c001780	c001780	c001780
C-009	28-28	§ 1 Build the evidence inventory	Inspect designated goals, decisions, plans, and relevant repository state		—	c001780	c001780	c001780
C-010	28-39	§ 1 Build the evidence inventory	Record every statement capable of changing scope, order, architecture, or a go/no-go decision under the nine categories		—	c001780	c001780	c001780
C-011	41-41	§ 1 Build the evidence inventory	Retain sources		—	c001780	c001780	c001780
C-012	41-41	§ 1 Build the evidence inventory	Mark unsupported conclusions as assumptions		—	c001780	c001780	c001780
C-013	43-43	§ 1 Build the evidence inventory	Reconcile the inventory before mapping		—	745192f	745192f	d977043
C-014	43-48	§ 1 Build the evidence inventory	Sweep the sources for conflicts and undecided choices, listing each entry with a reference for every side	R-003	reconstructed	d977043	d977043	d977043
C-015	47-48	§ 1 Build the evidence inventory	A qualifying adjective — `cheap`, `multilingual`, `managed` — is not a choice	R-003	reconstructed	d977043	d977043	d977043
C-016	50-50	§ 1 Build the evidence inventory	Do not silently pick a side or reopen a decision that a source declares closed		—	745192f	d977043	87150d3
C-017	50-52	§ 1 Build the evidence inventory	Expose every material entry with an `Open questions` item naming the slices it blocks, or a spike before the first blocked slice	R-002,R-003	reconstructed	745192f	87150d3	87150d3
C-018	54-55	§ 1 Build the evidence inventory	Exposing is not resolving; only a source that selects resolves an entry	R-010	**declared**	87150d3	87150d3	87150d3
C-019	56-57	§ 1 Build the evidence inventory	While an entry is open, no `Includes` or `Verification` bullet of a slice it blocks may assert a side	R-010	**declared**; the absorbed `R-002` m1 was anchored here by reconstruction	d977043	87150d3	87150d3
C-020	59-60	§ 1 Build the evidence inventory	Gate: every sequencing-relevant statement has applicable classifications and a source		—	c001780	c001780	d977043
C-021	60-60	§ 1 Build the evidence inventory	Gate: unsupported conclusions are assumptions		—	c001780	c001780	d977043
C-022	60-60	§ 1 Build the evidence inventory	Gate: exclusions have explicit rationale		—	c001780	c001780	d977043
C-023	60-61	§ 1 Build the evidence inventory	Gate: every material conflict and undecided choice is resolved, exposed with the slices it blocks, or assigned to a spike	R-002,R-010,R-003	reconstructed	745192f	d977043	d977043
C-024	65-65	§ 2 Map themes, outcomes, and dependencies	List independently useful outcomes		—	c001780	c001780	c001780
C-025	65-72	§ 2 Map themes, outcomes, and dependencies	Create a separate product theme when capabilities differ materially on any of the five criteria		—	c001780	c001780	c001780
C-026	74-74	§ 2 Map themes, outcomes, and dependencies	Do not optimize for fewer themes		—	c001780	c001780	c001780
C-027	74-75	§ 2 Map themes, outcomes, and dependencies	Merge themes only when neither can produce independent feedback or move independently		—	c001780	c001780	c001780
C-028	75-76	§ 2 Map themes, outcomes, and dependencies	A user-facing identity or access capability may be a theme; an authentication library or database layer is not		—	c001780	c001780	c001780
C-029	78-78	§ 2 Map themes, outcomes, and dependencies	Run both tests explicitly		—	745192f	745192f	745192f
C-030	80-82	§ 2 Map themes, outcomes, and dependencies	Split test: split when either capability can be cancelled, deferred, or reordered without invalidating the other's evidence; a shared entity, form, pipeline, or implementation is not a sufficient reason to merge		—	745192f	745192f	745192f
C-031	83-85	§ 2 Map themes, outcomes, and dependencies	Merge test: merge when the capabilities share interaction, invariant, and learning target and neither produces useful feedback alone		—	745192f	745192f	745192f
C-032	87-89	§ 2 Map themes, outcomes, and dependencies	Give every theme one desired outcome in product language		—	c001780	c001780	c001780
C-033	87-87,90-90	§ 2 Map themes, outcomes, and dependencies	Give every theme its first `NOW` product slice that validates the complete desired outcome	R-008,R-011	reconstructed	c001780	9aa2586	9aa2586
C-034	92-93	§ 2 Map themes, outcomes, and dependencies	An enabler may precede that validator but cannot substitute for it unless the theme's desired outcome is itself for a developer	R-011	**declared**; the absorbed `R-008` clause was anchored here by reconstruction	9aa2586	eb926bb	eb926bb
C-035	93-95	§ 2 Map themes, outcomes, and dependencies	A theme claiming that exception appends `*(Developer outcome)*` to its desired outcome in the published table	R-011	**declared**	eb926bb	eb926bb	eb926bb
C-036	95-96	§ 2 Map themes, outcomes, and dependencies	A slice that validates only one capability inside a broader theme outcome is not that theme's first validator	R-008	reconstructed	9aa2586	9aa2586	eb926bb
C-037	98-99	§ 2 Map themes, outcomes, and dependencies	Identify hard dependencies only: a predecessor is hard when no controlled input or narrower real precursor can make the outcome verifiable		—	c001780	fb1ec51	fb1ec51
C-038	99-100	§ 2 Map themes, outcomes, and dependencies	Convenient reuse, a fuller demo, or a preferred order is not a hard dependency		—	c001780	fb1ec51	fb1ec51
C-039	102-102	§ 2 Map themes, outcomes, and dependencies	Controlled inputs may replace unfinished UI or administration		—	c001780	c001780	c001780
C-040	102-103	§ 2 Map themes, outcomes, and dependencies	They must still traverse every production path whose correctness materially affects the outcome		—	c001780	c001780	c001780
C-041	103-104	§ 2 Map themes, outcomes, and dependencies	Fixtures that inject derived data directly do not remove a dependency on the production computation		—	c001780	c001780	c001780
C-042	106-106	§ 2 Map themes, outcomes, and dependencies	Hard dependencies constrain the slice order and nothing else		—	fb1ec51	fb1ec51	fb1ec51
C-043	106-107	§ 2 Map themes, outcomes, and dependencies	Do not grade them, do not write counterfactuals for them, and do not publish them		—	fb1ec51	fb1ec51	fb1ec51
C-044	109-111	§ 2 Map themes, outcomes, and dependencies	Greenfield: add a repository prerequisite with CI build, lint, typecheck, and tests, no provisioning or deploy		—	c001780	c001780	c001780
C-045	109-109,112-113	§ 2 Map themes, outcomes, and dependencies	Greenfield: add the smallest deployed walking skeleton that proves the decided infrastructure is connected and running		—	c001780	d88328f	d88328f
C-046	115-118	§ 2 Map themes, outcomes, and dependencies	The skeleton must exercise every already-decided stateful or managed dependency with no thinner real validator later		—	d88328f	d88328f	d88328f
C-047	122-123	§ 2 Map themes, outcomes, and dependencies	Keep the skeleton free of domain entities, CRUD, authentication, tenancy, and single-use external adapters		—	c001780	d88328f	d88328f
C-048	123-124	§ 2 Map themes, outcomes, and dependencies	Make independently useful access and domain behaviour later slices		—	c001780	c001780	d88328f
C-049	126-126	§ 2 Map themes, outcomes, and dependencies	Gate: every goal maps to an outcome, theme, and horizon		—	c001780	c001780	c001780
C-050	126-127	§ 2 Map themes, outcomes, and dependencies	Gate: theme split/merge decisions pass the independence tests		—	c001780	c001780	fb1ec51
C-051	127-128	§ 2 Map themes, outcomes, and dependencies	Gate: hard dependencies are limited to outcomes no controlled input can verify		—	fb1ec51	fb1ec51	fb1ec51
C-052	128-128	§ 2 Map themes, outcomes, and dependencies	Gate: greenfield prerequisites are present and separate		—	c001780	c001780	fb1ec51
C-053	128-129	§ 2 Map themes, outcomes, and dependencies	Keep this map in reasoning, not in the published plan		—	fb1ec51	fb1ec51	fb1ec51
C-054	133-133	§ 3 Cut valuable vertical slices	Give each slice one primary valuable outcome and one learning target		—	c001780	e0049d9	e0049d9
C-055	133-134	§ 3 Cut valuable vertical slices	End users and developers testing the product both count as users		—	c001780	c001780	e0049d9
C-056	138-138	§ 3 Cut valuable vertical slices	Each slice independently deployable, verifiable, reviewable, and revertible		—	c001780	c001780	c001780
C-057	139-139	§ 3 Cut valuable vertical slices	Each slice complete through every production layer required by its outcome		—	c001780	c001780	c001780
C-058	140-140	§ 3 Cut valuable vertical slices	Each slice safe enough for its stated users and environment		—	c001780	c001780	c001780
C-059	141-141	§ 3 Cut valuable vertical slices	Each slice the smallest coherent path that produces useful evidence		—	c001780	c001780	c001780
C-060	145-151	§ 3 Cut valuable vertical slices	Prefer a thin real capability followed by deepening slices; treat the five listed conditions as split warnings		—	c001780	c001780	c001780
C-061	153-155	§ 3 Cut valuable vertical slices	Keep behaviours together when they share theme, interaction or pipeline, adapter, invariant, and learning target and separation yields no useful feedback		—	c001780	c001780	c001780
